1-2020,2-2020,3-2020,4-2020,5-2020,6-2020,7-2020,8-2020,9-2020,10-2020,11-2020,12-2020
0,0,0,0,0,4182,6386,6030,6224,7448,6853,5537
0,0,0,0,0,8218,9884,9547,10092,12304,11631,9682
190500,187956,75777,8764,13030,14312,15049,14567,15421,18412,23373,20134
426711,411157,170761,22260,28492,34358,39446,37529,38821,45211,46444,40531
603431,579418,239621,32861,41851,50808,58898,56326,58519,67797,65818,49719
714573,685039,296566,46231,56862,70970,81534,76439,79494,92553,86798,69657
1631497,1559880,683592,103800,125861,156640,181489,176592,194666,216619,192232,168211
1835802,1756039,785887,124318,149430,187607,217530,212702,232957,259372,228222,202317
53773,50170,20442,1763,2741,1856,2544,2498,2673,3162,2964,2360
2015704,1931542,878985,146724,175934,219954,254096,247070,267167,298798,262430,235292
2237532,2149655,989392,169181,202148,255591,293558,286066,304997,343460,303074,273311
551758,548503,282381,58246,68699,78388,89976,86790,87087,97768,86511,78416
1834352,1749100,764699,114457,136999,187043,214848,210992,228459,259063,228905,205311
3038960,2908254,1259254,154947,180928,253738,303021,296443,314038,369163,322054,294151
5141706,4913830,2131181,279487,331300,463917,546782,536943,573970,666196,585756,530626
4227100,4054328,1784188,250925,293143,405750,483353,473761,506173,589135,519459,472851
3606000,3463715,1543982,228300,265643,363543,436552,425475,453243,528797,467537,424978
3362956,3226913,1443952,209433,243547,330350,397540,387384,409603,478846,421057,381685
2893789,2782230,1246948,174385,205464,279808,343766,334764,351157,414191,364144,329136
2501694,2405466,1082744,151007,178450,239449,299934,289237,302990,359426,314757,286658
2082241,2009604,909154,126363,149013,195329,252492,242576,251908,299066,260191,237047
1786868,1732161,784630,108638,129032,165098,219939,211055,219208,261114,225672,205306
1353775,1309620,575855,76145,89628,107390,157392,150182,154539,187799,158330,142529
1008396,937448,411778,49980,57400,59660,104816,100467,101733,128148,105534,93758
838937,779242,339334,40756,46302,40690,83210,81297,79684,103050,82915,73668
699485,648216,278267,31860,36305,25537,65856,65029,62102,83194,65681,57149
291528,265981,123398,14216,14678,9066,26716,28678,31195,38219,34251,28317
543658,500938,212281,21325,22813,16069,43194,44407,38941,56137,41400,34839
275572,255009,98729,8517,9677,7003,19460,18929,9622,21788,8959,7948
1448252,1384324,593148,84916,102985,126787,146463,139072,155722,174918,156496,134181
867732,836551,373743,61639,75095,94451,108627,101269,104919,123873,113406,95523
625008,589263,242215,29895,35074,39000,45670,45011,60441,60807,52806,47068
514794,485078,195119,23296,27246,33332,39129,38817,48125,46462,47058,41620
363946,342470,140061,18184,20861,28620,33334,33139,34989,38984,34185,29882
3374124,3248885,1451755,200176,234401,311800,369088,359934,377507,438841,383688,351188
3124358,3004469,1354180,191050,224066,295769,349474,340625,358274,415653,361975,332370
1436337,1349189,620361,80984,93196,129863,150056,148090,159801,180746,156997,144349
1319777,1242316,579518,79014,90800,125921,147395,145532,154142,177361,154178,141865
1184397,1117052,534517,78783,90894,124307,143952,142092,149480,170797,151750,140092
950323,900391,451293,74924,86025,114874,130544,129158,135230,153370,137820,127581
640983,617281,331010,65571,74818,96364,107642,107402,112383,126639,115014,106334
428227,409910,229310,50088,56547,69366,75018,74105,78243,88604,83209,76999
348091,333253,192080,45198,51501,61732,70913,70272,74329,84172,79698,69889
182578,174503,101349,25870,29744,31062,34461,34531,37399,42507,43240,34908
130768,123898,70145,17008,19758,25169,28116,28157,31045,35242,30084,28711
2898160,2789033,1264721,180800,210974,276989,328708,319938,337087,390908,338750,312632
1636606,1538559,692164,85089,98761,134442,159463,153020,164839,192481,163004,153892
1389282,1377014,634641,107387,124685,156809,186501,183710,189706,218339,193046,174810
1219592,1215480,567984,99890,115713,150626,172424,170033,175048,200824,177087,161445
925656,894984,444150,89383,102731,131687,149652,147559,151739,171859,151363,140865
754071,728908,379615,84093,95874,126878,144045,141878,145858,164989,145023,135366
551941,531833,294443,73409,83229,109022,123168,120321,123061,137909,120813,113252
208232,202417,118367,34423,39733,49956,56295,54795,55148,61073,54134,50535
